                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71819,                 7.9222,                0.97061,                0.00333,                      1,                0.00334,                0.00067,                 1.5456,                 9.8229,                 1.6949,                      0,                      0,                      0
                      2,                0.77231,                 6.6066,                 1.1481,                0.00333,                      1,                0.00334,                0.00067,                 1.5413,                 9.6754,                 1.6877,              1.996e-05,              1.996e-05,              1.996e-05
                      3,                 1.1874,                 6.8078,                 1.4089,                0.00333,                      1,                0.00334,                0.00067,                 1.5123,                 9.9743,                 1.6781,             3.9842e-05,             3.9842e-05,             3.9842e-05
                      4,                  1.045,                  10.85,                 1.1624,                0.00333,                      1,                0.00334,                0.00067,                  1.504,                 9.9197,                 1.6726,             5.9644e-05,             5.9644e-05,             5.9644e-05
                      5,                 1.1791,                 9.6059,                 1.4269,                0.00333,                      1,                0.00352,                0.00105,                 1.6038,                  10.32,                 1.6664,             7.9366e-05,             7.9366e-05,             7.9366e-05
                      6,                 1.2882,                 6.3361,                 1.3405,                0.00333,                      1,                 0.0061,                0.00061,                  1.737,                  10.26,                 1.7253,              9.901e-05,              9.901e-05,              9.901e-05
                      7,                0.76123,                 7.0222,                 1.2192,                0.00333,                      1,                0.01327,                0.00398,                 1.5821,                 10.137,                 1.7031,             0.00011857,             0.00011857,             0.00011857
                      8,                 1.2195,                 9.7524,                 1.2892,                0.00333,                      1,                0.04975,                0.02488,                 1.7056,                 8.0264,                 1.5268,             0.00013806,             0.00013806,             0.00013806
                      9,                0.78855,                 4.7971,                0.98062,                0.00333,                      1,                0.24875,                0.12437,                 1.5199,                 7.2261,                 1.5303,             0.00015747,             0.00015747,             0.00015747
                     10,                 1.0542,                 6.1574,                  1.074,                0.00333,                      1,                0.33167,                0.16583,                 1.5822,                 7.5668,                 1.4638,             0.00017679,             0.00017679,             0.00017679
                     11,                0.99097,                 4.5867,                 1.0182,                0.00333,                      1,                  0.995,                 0.4975,                 1.5406,                 7.9796,                 1.4536,             0.00019604,             0.00019604,             0.00019604
                     12,                 1.0002,                 5.1566,                 1.0969,                0.00333,                      1,                  0.995,                 0.4975,                 1.7274,                 7.1498,                 1.4361,             0.00021521,             0.00021521,             0.00021521
                     13,                0.85971,                  8.215,                0.99731,                0.00333,                      1,                  0.995,                 0.4975,                 1.7318,                 7.1732,                 1.4739,              0.0002343,              0.0002343,              0.0002343
                     14,                0.81368,                 4.6329,                0.90337,                0.00333,                      1,                  0.995,                  0.597,                 1.6886,                 7.5302,                 1.4699,             0.00025331,             0.00025331,             0.00025331
                     15,                0.82424,                 3.4517,                0.94173,                0.00333,                      1,                  0.995,                 0.4975,                 1.7867,                 7.3468,                 1.4439,             0.00027224,             0.00027224,             0.00027224
                     16,                 1.0178,                 3.5677,                0.92408,                0.00333,                      1,                  0.995,                 0.4975,                 1.9102,                 7.7327,                 1.3974,             0.00029109,             0.00029109,             0.00029109
                     17,                0.42939,                 6.8819,                0.84943,                0.00333,                      1,                  0.995,                  0.398,                 1.9685,                 8.7264,                 1.5619,             0.00030986,             0.00030986,             0.00030986
                     18,                 1.1856,                 3.5696,                 1.2532,                0.00333,                      1,                  0.995,                  0.398,                 1.9685,                 8.7264,                 1.5619,             0.00032856,             0.00032856,             0.00032856
